ZIP CODE,HUD Area Code,HUD Metro Fair Market Rent Area Name,SAFMR 0BR,SAFMR 0BR - 90% Payment Standard,SAFMR 0BR - 110% Payment Standard,SAFMR 1BR,SAFMR 1BR - 90% Payment Standard,SAFMR 1BR - 110% Payment Standard,SAFMR 2BR,SAFMR 2BR - 90% Payment Standard,SAFMR 2BR - 110% Payment Standard,SAFMR 3BR,SAFMR 3BR - 90% Payment Standard,SAFMR 3BR - 110% Payment Standard,SAFMR 4BR,SAFMR 4BR - 90% Payment Standard,SAFMR 4BR - 110% Payment Standard
"49048","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49052","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49053","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49060","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49065","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49071","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49072","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49074","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49077","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49078","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49080","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49081","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49083","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49087","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49088","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"49097","METRO28020M28020","Kalamazoo-Portage, MI MSA","","","","","","","","","","","","","","",""
"60401","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60424","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60468","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60481","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60901","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60910","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60913","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60914","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60915","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60917","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60919","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60922","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
